mode,rank,rank_biggest,agency,ntd_id,city,state,type_of_service,breakdown_rate,vehicle_passenger_car_miles,total_mechanical_failures,rank_2022,rank_2022_10_biggest
CR,1,1,MTA Metro-North Railroad,20078,New York,NY,DO,1320043.358490566,69962298,53,3,1
CR,2,,Virginia Railway Express,30073,Alexandria,VA,PT,1255530.5,2511061,2,2,NA
CR,3,2,Metra,50118,Chicago,IL,PT,384764.31666666665,23085859,60,7,4
CR,4,3,MTA Long Island Rail Road,20100,New York,NY,DO,357728.8461538461,83708550,234,5,2
CR,5,,South Shore Line,50104,Chesterton,IN,DO,342092.1666666667,2052553,6,4,NA
CR,6,4,Metra,50118,Chicago,IL,DO,336457.9344262295,20523934,61,6,3
CR,7,,Trinity Metro,60007,Fort Worth,TX,PT,251477.1,2514771,10,8,NA
CR,8,,Pennsylvania Department of Transportation,30057,Harrisburg,PA,PT,235586.0,2120274,9,10,NA
CR,9,5,Caltrain,90134,San Carlos,CA,PT,175356.6,7014264,40,12,5
CR,10,,Altamont Corridor Express,90182,Stockton,CA,PT,171179.83333333334,1027079,6,9,NA
CR,11,,Connecticut Department of Transportation,10102,Newington,CT,PT,139438.0909090909,1533819,11,28,NA
CR,12,,North County Transit District,90030,Oceanside,CA,DO,135457.38461538462,1760946,13,,
CR,13,6,New Jersey Transit Corporation,20080,Newark,NJ,DO,134716.69871794872,63047415,468,13,6
CR,14,7,Metrolink,90151,Los Angeles,CA,PT,109902.67289719626,11759586,107,15,7
CR,15,,Sound Transit,00040,Seattle,WA,PT,105863.0625,1693809,16,17,NA
CR,16,,Metro Transit,50027,Minneapolis,MN,PT,101760.5,203521,2,11,NA
CR,17,8,Massachusetts Bay Transportation Authority,10003,Boston,MA,PT,93931.03448275862,24516000,261,18,8
CR,18,9,Southeastern Pennsylvania Transportation Authority,30019,Philadelphia,PA,DO,75522.76623376623,17445759,231,23,10
CR,19,,Utah Transit Authority,80001,Salt Lake City,UT,DO,74174.28846153847,3857063,52,16,NA
CR,20,,Dallas Area Rapid Transit,60056,Dallas,TX,PT,64635.357142857145,1809790,28,22,NA
CR,21,10,RTD-Denver,80006,Denver,CO,PT,56820.12871287129,5738833,101,25,NA
CR,22,11,MTA,30034,Baltimore,MD,PT,53314.312,6664289,125,21,9
CR,23,,Tri-Rail,40077,Pompano Beach,FL,PT,34455.0462962963,3721145,108,27,NA
CR,24,,RTD-Denver,80006,Denver,CO,DO,11423.985074626866,765407,67,24,NA
HR,1,1,Washington Metro,30030,Washington,DC,DO,205988.03856749312,74773658,363,1,1
HR,2,2,SF BART,90003,Oakland,CA,DO,141023.72222222222,86306518,612,2,2
HR,3,3,Metro,90154,Los Angeles,CA,DO,88559.56338028169,6287729,71,5,4
HR,4,, MTA Staten Island Railway,20099,Staten Island,NY,DO,69486.65,2779466,40,4,NA
HR,5,4,Port Authority Trans-Hudson Corporation,20098,New York,NY,DO,54684.93939393939,12632221,231,6,5
HR,6,5,Southeastern Pennsylvania Transportation Authority,30019,Philadelphia,PA,DO,39882.04960835509,15274825,383,3,3
HR,7,6,Metropolitan Atlanta Rapid Transit Authority,40022,Atlanta,GA,DO,19243.18860103627,18569677,965,8,7
HR,8,7,Port Authority Transit Corporation,20075,Camden,NJ,DO,18655.072289156626,4645113,249,10,NA
HR,9,8,MTA New York City Transit,20008,Brooklyn,NY,DO,16930.161079274116,354517573,20940,9,8
HR,10,,The Greater Cleveland Regional Transit Authority,50015,Cleveland,OH,DO,10034.591304347827,2307956,230,13,NA
HR,11,9,Chicago Transit Authority,50066,Chicago,IL,DO,7383.133255269321,63051958,8540,11,9
HR,12,10,MTA,30034,Baltimore,MD,DO,6109.89119804401,4997891,818,12,NA
HR,13,,City and County of Honolulu,90002,Honolulu,HI,PT,5432.0,5432,1,,
HR,14,,Autoridad de Transporte Integrado,40094,San Juan,PR,PT,3792.8026565464897,1998807,527,14,NA
HR,15,11,County of Miami-Dade,40034,Miami,FL,DO,2895.4893617021276,7620928,2632,15,10
LR,1,1,Dallas Area Rapid Transit,60056,Dallas,TX,DO,177916.6551724138,10319166,58,3,3
LR,2,2,Metro,90154,Los Angeles,CA,DO,42139.043956043955,15338612,364,1,1
LR,3,3,Sound Transit,00040,Seattle,WA,DO,34745.10569105691,8547296,246,4,4
LR,4,4,TriMet,00008,Portland,OR,DO,33556.9125,8053659,240,2,2
LR,5,5,RTD-Denver,80006,Denver,CO,DO,18166.01257861635,8665188,477,9,9
LR,6,6,Utah Transit Authority,80001,Salt Lake City,UT,DO,16848.18181818182,6486550,385,8,8
LR,7,7,(St. Louis) Metro,70006,Saint Louis,MO,DO,16676.67474048443,4819559,289,5,5
LR,8,8,San Diego Metropolitan Transit System,90026,San Diego,CA,DO,15438.68133174792,12983931,841,7,7
LR,9,,New Jersey Transit Corporation,20080,Newark,NJ,PT,12393.25988700565,2193607,177,15,NA
LR,10,,NFTA - Metro Bus & Rail,20004,Buffalo,NY,DO,12029.287878787878,793933,66,10,NA
LR,11,,METRO,60008,Houston,TX,DO,10477.33779264214,3132724,299,14,NA
LR,12,9,Metro Transit,50027,Minneapolis,MN,DO,9143.31690140845,3895053,426,6,6
LR,13,,The Greater Cleveland Regional Transit Authority,50015,Cleveland,OH,DO,9026.811320754718,478421,53,22,NA
LR,14,10,Sacramento RT,90019,Sacramento,CA,DO,8347.851598173516,3656359,438,12,NA
LR,15,,City of Charlotte North Carolina,40008,Charlotte,NC,DO,5359.249211356467,1698882,317,13,NA
LR,16,11,San Francisco Municipal Transportation Agency,90015,San Francisco,CA,DO,4642.886756238004,4837888,1042,20,10
LR,17,,Pittsburgh Regional Transit,30022,Pittsburgh,PA,DO,4052.484593837535,1446737,357,19,NA
LR,18,,New Jersey Transit Corporation,20080,Newark,NJ,DO,3774.7785714285715,528469,140,18,NA
LR,19,,MTA,30034,Baltimore,MD,DO,1654.4448628294783,3075613,1859,16,NA
LR,20,,Valley Transportation Authority,90013,San Jose,CA,DO,1487.3932291666667,3426954,2304,21,NA
MB,1,,Beaver County Transit Authority,30023,Rochester,PA,DO,682559.0,682559,1,3,NA
MB,2,,The B,60051,Corpus Christi,TX,DO,410591.3333333333,2463548,6,45,NA
MB,3,,GoLine,40104,Vero Beach,FL,PT,329020.6666666667,987062,3,4,NA
MB,4,,BCRTA,50157,Hamilton,OH,DO,269508.0,539016,2,7,NA
MB,5,,Santee Wateree RTA,40100,Sumter,SC,DO,255276.0,255276,1,256,NA
MB,6,,City of Long Beach,20006,Long Beach,NY,DO,231872.0,231872,1,12,NA
MB,7,,AC Transit,90014,Oakland,CA,PT,211363.0,422726,2,2,NA
MB,8,,Metropolitan Council,50154,Minneapolis,MN,PT,210838.83333333334,3795099,18,156,NA
MB,9,,Citrus Connection,40031,Lakeland,FL,PT,203713.33333333334,611140,3,,
MB,10,,the e,30013,Erie,PA,DO,187087.8,1870878,10,14,NA
MB,11,,City of Kokomo,50145,Kokomo,IN,DO,175858.0,175858,1,109,NA
